time,vehicles_total,toll_id
2020-03-16 09:00:00,463,1
2020-03-16 10:00:00,586,1
2020-03-16 11:00:00,709,1
2020-03-16 12:00:00,851,1
2020-03-16 07:00:00,243,1
2020-03-16 08:00:00,397,1
2020-03-16 13:00:00,966,1
2020-03-16 14:00:00,1139,1
2020-03-16 15:00:00,1418,1
2020-03-16 16:00:00,1578,1
2020-03-16 17:00:00,1290,1
2020-03-16 18:00:00,1075,1
2020-03-16 19:00:00,1251,1
2020-03-16 20:00:00,1256,1
2020-03-16 21:00:00,1318,1
2020-03-16 22:00:00,1229,1
2020-03-16 23:00:00,333,1
2020-03-17 00:00:00,151,1
2020-03-17 01:00:00,75,1
2020-03-17 02:00:00,50,1
2020-03-17 03:00:00,45,1
2020-03-17 04:00:00,83,1
2020-03-17 05:00:00,215,1
2020-03-17 06:00:00,328,1
2020-03-17 07:00:00,383,1
2020-03-17 08:00:00,442,1
2020-03-17 09:00:00,486,1
2020-03-17 10:00:00,749,1
2020-03-17 11:00:00,885,1
2020-03-17 12:00:00,1055,1
2020-03-17 13:00:00,1347,1
2020-03-17 14:00:00,1429,1
2020-03-17 15:00:00,1391,1
2020-03-17 16:00:00,1222,1
2020-03-17 17:00:00,1021,1
2020-03-17 18:00:00,818,1
2020-03-17 19:00:00,681,1
2020-03-17 20:00:00,598,1
2020-03-17 21:00:00,759,1
2020-03-17 22:00:00,611,1
2020-03-17 23:00:00,560,1
2020-03-18 00:00:00,294,1
2020-03-18 01:00:00,212,1
2020-03-18 02:00:00,137,1
2020-03-18 03:00:00,106,1
2020-03-18 04:00:00,79,1
2020-03-18 05:00:00,154,1
2020-03-18 06:00:00,207,1
2020-03-18 07:00:00,230,1
2020-03-18 08:00:00,322,1
2020-03-18 09:00:00,430,1
2020-03-18 10:00:00,792,1
2020-03-18 11:00:00,1326,1
2020-03-18 12:00:00,1428,1
2020-03-18 13:00:00,1582,1
2020-03-18 14:00:00,1556,1
2020-03-18 15:00:00,1463,1
2020-03-18 16:00:00,1015,1
2020-03-18 17:00:00,928,1
2020-03-18 18:00:00,922,1
2020-03-18 19:00:00,1072,1
2020-03-18 20:00:00,1163,1
2020-03-18 21:00:00,1138,1
2020-03-18 22:00:00,869,1
2020-03-18 23:00:00,555,1
2020-03-19 00:00:00,229,1
2020-03-19 01:00:00,109,1
2020-03-19 02:00:00,73,1
2020-03-19 03:00:00,68,1
2020-03-19 04:00:00,134,1
2020-03-19 05:00:00,453,1
2020-03-19 06:00:00,712,1
2020-03-19 07:00:00,838,1
2020-03-19 08:00:00,962,1
2020-03-19 09:00:00,1078,1
2020-03-19 10:00:00,1300,1
